Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Czech Republic,CZE,4.559530329,3.296140657,1.848772611,3.632645491,4.874640468,6.386207215,6.564559092,4.988202195,1.834145073,-5.343397791,1.975868189,1.567627263,-0.938553682,-0.516675079,2.607037043,5.102415767,2.253976555,4.075766344
Germany,DEU,2.822696604,1.524537695,-0.167987063,-0.764861234,1.191936522,0.763909706,3.817196752,3.39870617,1.274699038,-5.37941105,4.239504345,5.599481428,0.303518386,0.215722046,1.752995962,0.862012076,1.420238939,1.740555776
Djibouti,DJI,,,,,,,,,,,,,,,7.07261105,7.880204553,7.000971092,2.496580819
Dominica,DMA,2.672923048,-0.05419564,-3.043193848,5.945232972,2.631926331,0.302788311,4.392704196,6.139403007,6.933852575,-1.384819666,0.375203641,-0.610439129,-1.506496293,-1.096416396,3.846712555,-3.061976014,1.990915655,-9.997762216
Denmark,DNK,3.400722038,0.462530611,0.145880086,0.117373434,2.403208255,2.055133635,3.572035729,0.462745499,-1.094850555,-5.413991945,1.419488116,0.920390598,-0.149947287,0.513432702,1.105414721,1.62219522,1.603672642,1.606572242
Dominican Republic,DOM,3.029856553,0.874945236,2.896032078,-2.836066147,1.046308852,7.83414398,7.615936334,5.912647616,1.793963117,-0.410140874,6.914234903,1.80546548,1.424113959,3.586402333,6.347731472,5.787507776,5.406832887,3.403978349
Algeria,DZA,2.427875701,1.676475844,4.279453027,5.850520833,2.943232296,4.452752236,0.210971674,1.799196896,0.713952801,-0.101599762,1.763682018,0.930355173,1.321109306,0.696353667,1.733280904,1.790253965,1.431403437,-0.151006712
East Asia & Pacific (excluding high income),EAP,6.448072214,5.714758461,6.903795473,7.809231921,8.052381451,8.841148181,9.924570882,11.3386484,7.649513525,6.928075203,9.000707434,7.688629727,6.733750388,6.418427137,5.988071105,5.733373466,5.560961559,5.812238456
Early-demographic dividend,EAR,2.626712257,-0.765902547,-0.130411691,3.049355827,4.98301762,4.418216075,4.46437584,4.21573985,1.858632873,-0.893979257,4.55618229,3.408048358,2.714067912,2.80198557,2.550795413,3.204392635,3.372650846,3.308919145
East Asia & Pacific,EAS,3.906796464,1.762871698,2.739920888,3.431289686,4.346152172,4.270921043,4.770108468,5.720657624,2.79171113,0.701750161,6.346889414,3.921072013,3.973801866,4.041746373,3.419532106,3.464947477,3.39714018,3.850695384
Europe & Central Asia (excluding high income),ECA,7.982946654,2.686287696,5.565519731,6.787243776,8.173756612,7.029623435,7.984164728,7.482822774,4.089729622,-6.407467513,4.616843338,5.965260275,3.109191119,3.381402839,1.622743743,-0.056741562,0.902514902,3.497266713
Europe & Central Asia,ECS,4.184274753,2.071675891,1.560522777,1.60309428,2.938464924,2.447868346,3.614792485,3.330865005,0.600904452,-4.862776416,2.288248478,2.189428842,-0.090024739,0.417210942,1.380963038,1.513573828,1.426061193,2.21194509
Ecuador,ECU,-0.748585969,2.201541046,2.35038446,1.04137934,6.448472843,3.562015064,2.66753642,0.478152631,4.574821686,-1.101802097,1.837978037,6.143477932,3.981860644,3.325690087,2.212336985,-1.396971243,-2.677388605,0.891867725
"Egypt, Arab Rep.",EGY,4.423365172,1.615120371,0.467406858,1.252073862,2.158922856,2.57187224,4.956141851,5.232231799,5.281134529,2.755494833,3.093756299,-0.356023819,-0.003922723,-0.083564439,0.668288269,2.18436429,2.263270591,2.190073004
Euro area,EMU,3.518895771,1.768185575,0.530583739,0.176888865,1.764204944,1.180594722,2.755965113,2.522210603,-0.049892694,-4.826829627,1.928022737,1.856634691,-1.076197152,-0.585463584,1.053003306,1.791351902,1.627463061,2.126254118
Eritrea,ERI,-5.726673438,5.511142661,-0.34336523,-5.874738983,-1.712742567,-0.278298786,-3.346965062,-0.69005245,-11.47336358,2.004025688,0.320461257,6.643278697,,,,,,
Spain,ESP,4.819364022,3.281734814,1.436815991,1.338243755,1.40190868,1.985476006,2.428012521,1.865813028,-0.482674966,-4.424062114,-0.445350775,-1.349930077,-2.990755144,-1.383096773,1.683527291,3.725128085,3.086610965,2.736942516
Estonia,EST,10.03454067,7.008146762,6.750451033,8.092451367,6.932101241,10.00140285,10.9240292,8.240850138,-5.165513258,-14.55986124,2.492551994,7.924443455,4.681290004,2.299973572,3.158749591,1.833510263,3.458973517,4.729813023
